Date,Open,High,Low,Close,Volume,Log_Ret,SMA_7,SMA_21,Volatility_7,Lag_1,Lag_2,Lag_3,Lag_5,Day_of_Week,Month,Target
2024-12-19,247.5,252.0,247.0949,249.79,60882264,0.0069902261174959015,249.27714285714288,241.81761904761905,0.011550766171792183,-0.02165458570825826,0.009672635470593672,0.011659486612797755,0.00594601812519399,3,12,0.018640977623199214
2024-12-20,248.04,255.0,245.69,254.49,147495267,0.018640977623199214,250.42000000000002,243.03142857142856,0.012811843559879502,0.0069902261174959015,-0.02165458570825826,0.009672635470593672,0.000685359538206058,4,12,0.0030602660418225774
2024-12-23,254.77,255.65,253.45,255.27,40858774,0.0030602660418225774,251.46428571428572,244.30523809523808,0.012806346753886057,0.018640977623199214,0.0069902261174959015,-0.02165458570825826,0.011659486612797755,0,12,0.011412669882966294
2024-12-24,255.49,258.21,255.29,258.2,23234705,0.011412669882966294,252.90285714285713,245.6542857142857,0.012963442510260593,0.0030602660418225774,0.018640977623199214,0.0069902261174959015,0.009672635470593672,1,12,0.0031708003828989626
2024-12-26,258.19,260.1,257.63,259.02,27262983,0.0031708003828989626,254.04285714285714,246.89952380952377,0.012705677694462018,0.011412669882966294,0.0030602660418225774,0.018640977623199214,-0.02165458570825826,3,12,-0.0133306806880835
2024-12-27,257.83,258.7,253.06,255.59,42355321,-0.0133306806880835,254.34428571428572,247.87714285714287,0.014040588302552108,0.0031708003828989626,0.011412669882966294,0.0030602660418225774,0.0069902261174959015,4,12,-0.013352174576538492
2024-12-30,252.23,253.5,250.75,252.2,35557542,-0.013352174576538492,254.93714285714285,248.69952380952378,0.011990808814316202,-0.0133306806880835,0.0031708003828989626,0.011412669882966294,0.018640977623199214,0,12,-0.007082915290017538
2024-12-31,252.44,253.28,249.43,250.42,39480718,-0.007082915290017538,255.02714285714288,249.32285714285712,0.012263789157966089,-0.013352174576538492,-0.0133306806880835,0.0031708003828989626,0.0030602660418225774,1,12,-0.026586226084739983
2025-01-02,248.93,249.1,241.8201,243.85,55740731,-0.026586226084739983,253.50714285714284,249.5257142857143,0.012923364960042621,-0.007082915290017538,-0.013352174576538492,-0.0133306806880835,0.011412669882966294,3,1,-0.0020114536450788353
2025-01-03,243.36,244.18,241.89,243.36,40244114,-0.0020114536450788353,251.80571428571426,249.5595238095238,0.012457924645647564,-0.026586226084739983,-0.007082915290017538,-0.013352174576538492,0.0031708003828989626,4,1,0.006716382033744203
2025-01-06,244.31,247.33,243.2,245.0,45045571,0.006716382033744203,249.92,249.6542857142857,0.011392968079373829,-0.0020114536450788353,-0.026586226084739983,-0.007082915290017538,-0.0133306806880835,0,1,-0.011453092086491822
2025-01-07,242.98,245.55,241.35,242.21,40855960,-0.011453092086491822,247.51857142857142,249.6147619047619,0.010409188803065997,0.006716382033744203,-0.0020114536450788353,-0.026586226084739983,-0.013352174576538492,1,1,0.0020209942743203797
2025-01-08,241.92,243.7123,240.05,242.7,37628940,0.0020209942743203797,245.67714285714285,249.60809523809525,0.011084006340140699,-0.011453092086491822,0.006716382033744203,-0.0020114536450788353,-0.007082915290017538,2,1,-0.024399083362794845
2025-01-10,240.01,240.16,233.0,236.85,61710856,-0.024399083362794845,243.4842857142857,249.13666666666666,0.01273708999707145,0.0020209942743203797,-0.011453092086491822,0.006716382033744203,-0.026586226084739983,4,1,-0.010397971666903203
2025-01-13,233.53,234.67,229.72,234.4,49630725,-0.010397971666903203,241.19571428571427,248.5,0.01271681126258123,-0.024399083362794845,0.0020209942743203797,-0.011453092086491822,-0.0020114536450788353,0,1,-0.004789608882564205
2025-01-14,234.75,236.12,232.472,233.28,39435294,-0.004789608882564205,239.68571428571428,247.8709523809524,0.010249033079891287,-0.010397971666903203,-0.024399083362794845,0.0020209942743203797,0.006716382033744203,1,1,0.019484857132124
2025-01-15,234.635,238.96,234.43,237.87,39831969,0.019484857132124,238.9014285714286,247.3904761904762,0.01421280860292686,-0.004789608882564205,-0.010397971666903203,-0.024399083362794845,-0.011453092086491822,2,1,-0.041238975826963314
2025-01-16,237.35,238.01,228.03,228.26,71759052,-0.041238975826963314,236.51000000000002,246.4442857142857,0.019263095176312126,0.019484857132124,-0.004789608882564205,-0.010397971666903203,0.0020209942743203797,3,1,0.007507018495064835
2025-01-17,232.115,232.29,228.48,229.98,68488301,0.007507018495064835,234.76285714285717,245.44142857142856,0.020345421062828703,-0.041238975826963314,0.019484857132124,-0.004789608882564205,-0.024399083362794845,4,1,-0.03243623140288344
2025-01-21,224.0,224.42,219.38,222.64,98070429,-0.03243623140288344,231.89714285714285,243.97285714285715,0.021801890735975347,0.007507018495064835,-0.041238975826963314,0.019484857132124,-0.010397971666903203,1,1,0.005330717933897527
2025-01-22,219.79,224.12,219.79,223.83,64126500,0.005330717933897527,230.03714285714287,242.81952380952382,0.021952855342537422,-0.03243623140288344,0.007507018495064835,-0.041238975826963314,-0.004789608882564205,2,1,-0.0007597935514905356
2025-01-23,224.74,227.03,222.3,223.66,60234760,-0.0007597935514905356,228.50285714285715,241.5752380952381,0.022084890747009242,0.005330717933897527,-0.03243623140288344,0.007507018495064835,0.019484857132124,3,1,-0.003942304182998584
2025-01-24,224.78,225.63,221.41,222.78,54697907,-0.003942304182998584,227.00285714285715,240.0652380952381,0.022099425389073564,-0.0007597935514905356,0.005330717933897527,-0.03243623140288344,-0.041238975826963314,4,1,0.03128569052356898
2025-01-27,224.02,232.15,223.98,229.86,94863418,0.03128569052356898,225.85857142857142,238.8552380952381,0.024714467041580455,-0.003942304182998584,-0.0007597935514905356,0.005330717933897527,0.007507018495064835,0,1,0.035892086430602384
2025-01-28,230.85,240.19,230.81,238.26,75707569,0.035892086430602384,227.28714285714287,237.90571428571425,0.022939776966715224,0.03128569052356898,-0.003942304182998584,-0.0007597935514905356,-0.03243623140288344,1,1,0.004606180414897502
2025-01-29,234.12,239.855,234.01,239.36,45486100,0.004606180414897502,228.62714285714287,236.96952380952385,0.02293685799738353,0.035892086430602384,0.03128569052356898,-0.003942304182998584,0.005330717933897527,2,1,-0.0074221957254156
